Model Run,FPS,AVG_FPS,FPS,AVG_FPS
418,107,111.4,108.5,99.7
419,102,111.4,105.8,99.7
420,102.5,111.4,106.8,99.7
421,102.5,111.4,107.7,99.7
422,102.8,111.4,108.7,99.7
423,103.4,111.4,108.8,99.7
424,104.5,111.4,106.7,99.7
425,102.6,111.4,103.2,99.7
426,103.4,111.4,102.7,99.7
427,103.4,111.4,103.3,99.7
428,103.7,111.4,104.1,99.7
429,104,111.4,104.8,99.7
430,104.9,111.4,105.7,99.7
431,104.8,111.4,103.6,99.7
432,105.4,111.4,104.4,99.7
433,105.8,111.4,104.7,99.7
434,105.3,111.4,105.5,99.7
435,105.6,111.4,105.5,99.7
436,106.1,111.4,103.7,99.7
437,103.2,111.4,101.6,99.7
438,103.9,111.4,102.2,99.7
439,104.3,111.4,103.1,99.7
440,104.9,111.4,103.6,99.7
441,104.9,111.4,104.3,99.7
442,105,111.4,103.6,99.7
443,105.1,111.4,101.8,99.7
444,105,111.4,102.7,99.7
445,104.8,111.4,104.1,99.7
446,104.6,111.4,105.2,99.7
447,104.5,111.4,106.5,99.7
448,105,111.4,105,99.7
449,102.5,111.4,102.6,99.7
450,102.9,111.4,103.9,99.7
451,103.2,111.4,105.1,99.7
452,103.9,111.4,106.7,99.7
453,103.6,111.4,107.4,99.7
454,103.9,111.4,108.7,99.7
455,104.1,111.4,106.1,99.7
456,104.7,111.4,107.8,99.7
457,105.1,111.4,109.2,99.7
458,104.7,111.4,110.6,99.7
459,105.1,111.4,111.9,99.7
460,105.3,111.4,109.9,99.7
461,102.9,111.4,107.6,99.7
462,103.7,111.4,109.1,99.7
463,104.2,111.4,110.4,99.7
464,104.7,111.4,111.6,99.7
465,104.9,111.4,112.1,99.7
466,105.4,111.4,112.7,99.7
467,105.5,111.4,110.4,99.7
468,106.1,111.4,110.5,99.7
469,105.2,111.4,111.3,99.7
470,104.9,111.4,112.1,99.7
471,104.9,111.4,112.5,99.7
472,105.5,111.4,110.7,99.7
473,103.1,111.4,107.4,99.7
474,103.6,111.4,106.9,99.7
475,103.6,111.4,107.6,99.7
476,104,111.4,108.6,99.7
477,104.4,111.4,109.2,99.7
478,104.8,111.4,110.5,99.7
479,104.8,111.4,108.2,99.7
480,105.4,111.4,109.3,99.7
481,105.9,111.4,110.4,99.7
482,105.5,111.4,111.6,99.7
483,106.1,111.4,112.8,99.7
484,106.3,111.4,110.9,99.7
485,101.7,111.4,108.7,99.7
486,101.2,111.4,110,99.7
487,101.9,111.4,110.7,99.7
488,102.4,111.4,112,99.7
489,102.4,111.4,113,99.7
490,102.9,111.4,112.5,99.7
491,103.2,111.4,110.7,99.7
492,103.6,111.4,111.5,99.7
493,103.7,111.4,111.5,99.7
494,103.8,111.4,112.2,99.7
495,103.6,111.4,112.6,99.7
496,104.2,111.4,110.3,99.7
497,102.1,111.4,107,99.7
498,102.7,111.4,107.5,99.7
499,102.6,111.4,107.5,99.7
500,103.2,111.4,108.1,99.7
501,101.9,111.4,108.2,99.7
502,102,111.4,109,99.7
503,102.3,111.4,106.6,99.7
504,102.2,111.4,106.9,99.7
505,101.9,111.4,105.9,99.7
506,102,111.4,107.6,99.7
507,102.1,111.4,108.8,99.7
508,102.7,111.4,107.2,99.7
509,100.9,111.4,105.4,99.7
510,102.1,111.4,107,99.7
511,102.6,111.4,108.1,99.7
512,103.7,111.4,109.2,99.7
513,104.3,111.4,109.9,99.7
514,105.1,111.4,111.1,99.7
515,105.3,111.4,108.3,99.7
516,105.4,111.4,108.8,99.7
517,106.1,111.4,109.2,99.7
518,106,111.4,110,99.7
519,106.4,111.4,109.4,99.7
520,107,111.4,107.6,99.7
521,104.8,111.4,104.2,99.7
522,105.3,111.4,103.5,99.7
523,104.7,111.4,104.3,99.7
524,105.3,111.4,104.2,99.7
525,105.7,111.4,105.2,99.7
526,106.2,111.4,106.3,99.7
527,106.8,111.4,104.1,99.7
528,107.4,111.4,105,99.7
529,107.7,111.4,105.4,99.7
530,107.8,111.4,106.6,99.7
531,107.8,111.4,107.2,99.7
532,107.3,111.4,105,99.7
533,105.2,111.4,102.3,99.7
534,106.1,111.4,102.8,99.7
535,106.6,111.4,103,99.7
536,106.9,111.4,103.8,99.7
537,107.2,111.4,104.9,99.7
538,107.9,111.4,104.2,99.7
539,107.7,111.4,102.2,99.7
540,107.9,111.4,102.7,99.7
541,107.7,111.4,103.4,99.7
542,107.9,111.4,104.6,99.7
543,107.7,111.4,105.1,99.7
544,108.1,111.4,103.5,99.7
545,105.2,111.4,100.6,99.7
546,105.7,111.4,101.7,99.7
547,105.4,111.4,102.8,99.7
548,104.8,111.4,103.9,99.7
549,104.9,111.4,104.8,99.7
550,105.4,111.4,105.3,99.7
551,105.2,111.4,101.9,99.7
552,105.4,111.4,102.3,99.7
553,105.7,111.4,103.6,99.7
554,105.6,111.4,104.7,99.7
555,105.7,111.4,105.8,99.7
556,105.9,111.4,104.3,99.7
557,103.2,111.4,102.3,99.7
558,104,111.4,103.5,99.7
559,104.4,111.4,104.6,99.7
560,104.4,111.4,105.9,99.7
561,104.2,111.4,106.5,99.7
562,104.7,111.4,107,99.7
563,105.3,111.4,105.5,99.7
564,104.7,111.4,106.5,99.7
565,104.7,111.4,107.1,99.7
566,105,111.4,108,99.7
567,105,111.4,108.3,99.7
568,105.5,111.4,106.8,99.7
569,102.8,111.4,103.3,99.7
570,103.1,111.4,102.4,99.7
571,103.5,111.4,103,99.7
572,104.2,111.4,103.3,99.7
573,104.6,111.4,104.2,99.7
574,105,111.4,105.9,99.7
575,105.3,111.4,104,99.7
576,106.1,111.4,105.6,99.7
577,106.3,111.4,105.9,99.7
578,106.1,111.4,107.1,99.7
579,106.9,111.4,107.5,99.7
580,106.7,111.4,106.1,99.7
581,104.5,111.4,104.1,99.7
582,105.1,111.4,105.7,99.7
583,105.6,111.4,106.4,99.7
584,105.8,111.4,107.5,99.7
585,105.7,111.4,108.7,99.7
586,106.2,111.4,108.2,99.7
587,106.2,111.4,105.5,99.7
588,106.5,111.4,106.5,99.7
589,106.5,111.4,107.7,99.7
590,106.7,111.4,108,99.7
591,106.6,111.4,109,99.7
592,107.1,111.4,107.4,99.7
593,104.8,111.4,106.4,99.7
594,105.5,111.4,108,99.7
595,105.8,111.4,109.2,99.7
596,105.1,111.4,110.5,99.7
597,105.6,111.4,111.5,99.7
598,106,111.4,112.7,99.7
599,106.5,111.4,108.8,99.7
600,105.8,111.4,109.1,99.7
601,105.1,111.4,110.3,99.7
602,106,111.4,110.1,99.7
603,106.7,111.4,111.2,99.7
604,107.9,111.4,109.8,99.7
605,105.2,111.4,106.6,99.7
606,106.6,111.4,108,99.7
607,107.3,111.4,109.1,99.7
608,108.5,111.4,110.5,99.7
609,109,111.4,111.7,99.7
610,109.2,111.4,112.6,99.7
611,109.7,111.4,111.7,99.7
612,109.2,111.4,112.7,99.7
613,109.2,111.4,113.6,99.7
614,109.3,111.4,113.7,104.6
615,109.7,111.4,113.6,104.6
616,110.5,111.4,112.3,104.6
617,107.6,111.4,109.2,104.6
618,108,111.4,108.5,104.6
619,108.2,111.4,109.9,104.6
620,109.1,111.4,111.2,104.6
621,109.3,111.4,111.3,104.6
622,110,111.4,112.4,104.6
623,110.2,111.4,111.4,104.6
624,110.4,111.4,112.4,104.6
625,110.2,111.4,113.1,104.6
626,110.5,111.4,113.3,104.6
627,110.8,111.4,114.2,104.6
628,109.6,111.4,114.1,104.6
629,106.5,111.4,111.7,104.6
630,106.8,111.4,112.8,104.6
631,107.2,111.4,113.9,104.6
632,107,111.4,114.8,104.6
633,104.6,111.4,115.7,104.6
634,105.3,111.4,115.1,104.6
635,105.8,111.4,113.8,104.6
636,106.1,111.4,114.6,104.6
637,106.5,111.4,114.9,104.6
638,107,111.4,115,104.6
639,107.3,111.4,115.7,104.6
640,108.2,111.4,115.6,104.6
641,106.1,111.4,113.2,104.6
642,106.8,111.4,114.2,104.6
643,107,111.4,115,104.6
644,106.3,111.4,115.9,104.6
645,106.7,111.4,116.6,104.6
646,107,111.4,117.3,104.6
647,107.4,111.4,115,104.6
648,107.9,111.4,115.7,104.6
649,108,111.4,116.5,104.6
650,108.1,104.8,116.1,104.6
651,108.4,104.8,116.9,104.6
652,108.8,104.8,116.8,104.6
653,106.5,104.8,115.1,104.6
654,106.9,104.8,115.9,104.6
655,107.3,104.8,116.6,104.6
656,107.9,104.8,117.3,104.6
657,107.6,104.8,117.9,104.6
658,108.2,104.8,118.3,104.6
659,108.4,104.8,116.3,104.6
660,107.6,104.8,117,104.6
661,107.9,104.8,117.5,104.6
662,108,104.8,117.7,104.6
663,107.8,104.8,118.1,104.6
664,108,104.8,117,104.6
665,104.7,104.8,113.9,104.6
666,104.8,104.8,112.8,104.6
667,104.9,104.8,113.9,104.6
668,105.6,104.8,114.7,104.6
669,106,104.8,115.4,104.6
670,106.1,104.8,116,104.6
671,106.2,104.8,114.7,104.6
672,106.7,104.8,115.6,104.6
673,106.9,104.8,116.3,104.6
674,106.9,104.8,116.2,104.6
675,107.1,104.8,116.9,104.6
676,106.2,104.8,116.7,104.6
677,103.3,104.8,114.3,104.6
678,104.1,104.8,115.2,104.6
679,104.7,104.8,115.9,104.6
680,105.1,104.8,116.6,104.6
681,105.9,104.8,117.2,104.6
682,106.8,104.8,117,104.6
683,106.9,104.8,116.1,104.6
684,107.2,104.8,116.7,104.6
685,107.8,104.8,117.3,104.6
686,108.4,104.8,117.5,104.6
687,108.3,104.8,118.1,104.6
688,108.7,104.8,117.3,104.6
689,104.8,104.8,117.3,104.6
690,105.2,104.8,117.9,104.6
691,105.6,104.8,118.5,104.6
692,105.3,104.8,118.9,104.6
693,105.9,104.8,119.3,104.6
694,106.1,104.8,119.6,104.6
695,106.5,104.8,117.6,104.6
696,106.9,104.8,118.1,104.6
697,107.3,104.8,118.5,104.6
698,107.8,104.8,118,104.6
699,108.2,104.8,118.4,104.6
700,108.8,104.8,118.9,104.6
701,105.5,104.8,118.9,104.6
702,106.4,104.8,119.4,104.6
703,107,104.8,119.7,104.6
704,107.4,104.8,120.1,104.6
705,107.2,104.8,120.4,104.6
706,107.7,104.8,120.7,104.6
707,108,104.8,120.1,104.6
708,107.1,104.8,120.4,104.6
709,107.4,104.8,120.6,104.6
710,107.7,104.8,120,104.6
711,107.7,104.8,120.3,104.6
712,107.8,104.8,120,104.6
